B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06008_007E,state,county,tract
2497,91,68,23,279,176,2591,218,216,413,240,265,267,228,744,168,385,739,781,651,421,12,011,051002
3785,1580,747,833,1001,602,4925,1397,426,795,703,848,502,107,147,525,1461,1362,787,548,1000,12,011,060105
2032,735,320,415,292,321,2482,407,164,718,599,269,199,82,44,278,879,723,379,139,474,12,011,060107
1960,387,210,177,325,245,2258,477,171,387,295,318,163,77,370,251,456,908,564,180,287,12,011,060109
3426,1661,1176,485,847,527,4682,844,454,778,680,699,482,260,485,235,1233,1640,1177,512,788,12,011,060111
3740,1704,662,1042,569,500,5064,750,876,1434,870,562,197,120,255,498,1476,1522,1128,271,715,12,011,060112
3713,1196,629,567,1110,1025,4082,870,418,729,655,509,343,95,463,585,1127,1599,749,302,1036,12,011,060113
4419,1098,440,658,897,804,4809,677,553,998,1047,776,331,88,339,565,1192,1614,1133,243,1217,12,011,060114
3784,1828,874,954,870,744,5064,544,515,860,980,900,626,189,450,475,1166,1697,898,343,1213,12,011,060115
4818,1957,1205,752,464,649,5247,1113,356,797,648,1034,663,223,413,345,1279,2001,999,377,1334,12,011,060116
3078,1578,996,582,1438,993,4201,676,724,984,546,587,479,102,103,664,1517,819,650,531,1017,12,011,060117
3248,1097,859,238,401,614,3514,532,467,521,461,602,468,132,331,436,938,1207,603,286,1348,12,011,060118
3471,1368,1059,309,285,626,3929,654,359,496,485,600,540,153,642,322,1013,1157,898,428,1283,12,011,060119
3835,1955,1404,551,727,578,4986,838,407,671,506,844,625,115,980,211,961,1589,1194,734,1221,12,011,060120
3217,1131,827,304,577,862,3366,394,423,201,372,472,369,98,1037,324,540,1077,806,757,1208,12,011,060121
2470,1665,920,745,501,478,3584,379,383,710,642,586,201,150,533,232,884,857,840,639,938,12,011,060122
1921,340,197,143,754,260,2319,387,172,424,434,387,300,50,165,167,574,947,416,281,297,12,011,060123
3358,478,330,148,1539,469,4213,635,677,1135,592,749,177,93,155,930,1145,1320,535,277,309,12,011,060124
1637,212,124,88,450,355,1605,242,206,248,277,278,139,33,182,190,552,513,173,119,399,12,011,060125
3850,272,170,102,988,745,3634,423,227,479,583,705,566,155,496,173,1157,1313,686,356,1279,12,011,060126
1800,519,209,310,377,237,2024,235,234,411,624,270,116,82,52,213,890,522,189,166,412,12,011,060127
2885,1040,530,510,1369,759,3978,759,424,680,622,750,300,51,392,467,1306,1386,649,232,763,12,011,060128
4554,135,54,81,937,1274,3623,1149,506,777,535,354,176,66,60,923,1223,1237,296,72,1290,12,011,060203
2295,1489,710,779,609,682,3329,579,352,866,643,376,310,52,151,606,1104,1218,523,202,636,12,011,060206
2502,810,654,156,361,303,3095,510,507,604,550,507,199,22,196,501,1087,814,472,186,487,12,011,060207
3409,439,294,145,1656,789,3614,683,553,826,540,526,251,76,159,592,1241,1203,316,156,940,12,011,060208
